,Player,From,To,Price_m,Year
186,Marko Rog,Dinamo Zagreb,Napoli,13.0,2016
187,Nikola Maksimovic,Torino,Napoli,20.0,2016
189,Oscar Hiljemark,Palermo,Genoa,2.5,2016
190,Giuseppe Pezzella,Palermo,Udinese ,4.5,2016
191,Maximiliano Olivera,Penarol,Fiorentina,2.5,2016
192,Victor Hugo,Palmeiras,Fiorentina,8.0,2016
193,Vanja Milinkovic-Savic,Lechia Gdansk,Torino,4.2,2016
194,Adam Marusic,Ostende,Lazio ,6.5,2016
195,Lorenzo Pellegrini,Sassuolo,Roma ,10.0,2016
196,Raman Chibsah,Sassuolo,Benevento,0.85,2016
197,Jose Luis Palomino,Ludogorets,Atalanta,4.0,2016
198,Paolo Farago,Novara,Cagliari,2.3,2016
199,Bruno Gaspar,Vit. Guimaraes,Fiorentina ,4.0,2016
200,Alejandro Rodriguez,Cesena,Chievo ,0.5,2016
201,Mateo Musacchio,Villarreal,AC Milan,18.0,2016
203,Robin Gosens,Heracles,Atalanta,0.9,2016
204,Marco Fossati,Cagliari,Verona,0.3,2016
205,Luca Garritano,Cesena,Chievo,1.0,2016
206,Nicola Murru,Cagliari,Sampdoria,7.0,2016
208,Bruno Peres,Torino,Roma,12.5,2016
209,Juan Jesus,Inter Milan,Roma,8.0,2016
210,Gianluca Gaudino,Bayern Munich,Chievo ,0.05,2016
211,Saphir Taider,Inter Milan,Bologna,4.0,2016
212,Gianluca Carpari,Inter Milan,Sampdoria,15.0,2016
213,Sebastien De Maio,Anderlecht,Bologna,2.0,2016
214,Senna Miangue,Inter Milan,Cagliari ,3.5,2016
215,Mehdi Benatia,Bayern Munich,Juventus,17.0,2016
216,Federico Ricci,Roma,Sassuolo,4.5,2016
217,Maxime Gonalons,Olympique Lyon,Roma,5.0,2016
219,Simone Palombi,Ternana,Lazio ,0.3,2016
222,Bruno Fernandes,Udinese,Sampdoria,6.0,2016
223,Antonin Barak,Slavia Prague,Udinese,3.0,2016
224,Massimo Coda,Salernitana,Benevento,1.7,2016
225,Sebastian Cristoforo,Sevilla,Fiorentina,3.5,2016
226,Hector Moreno,PSV,Roma,5.7,2016
227,Etrit Berisha,Lazio,Atalanta,5.0,2016
228,Carlos Sanchez,Aston Villa,Fiorentina,3.0,2016
229,Gaetano Castrovilli,Bari,Fiorentina ,1.4,2016
231,Rodrigo Bentancur,Boca Juniors,Juventus,10.5,2016
232,Federico Fazio,Tottenham,Roma,3.2,2016
233,Ricardo Rodriguez,Wolfsburg,AC Milan,18.0,2016
234,Andreas Cornelius,FC Copenhagen,Atalanta,3.5,2016
235,Rick Karsdorp,Feyenoord,Roma,14.0,2016
236,Filip Helander,Verona,Bologna,2.0,2016
66,Marco Capuano,Cagliari,Frosinone,0.9,2017
77,Afriyie Acquah,Torino,Empoli,0.9,2017
79,Lukasz Teodorczyk,Anderlecht,Udinese,6.3,2017
83,Simone Missiroli,Sassuolo,SPAL,2.25,2017
88,Ragnar Klavan,Liverpool,Cagliari,1.17,2017
92,Mirko Voldifori,Torino,SPAL,0.9,2017
93,Marlon,FC Barcelona,Sassuolo,5.4,2017
95,William Troost-Ekong,Bursaspor,Udinese,2.97,2017
100,Steven N'Zonzi,Sevilla,AS Roma,23.9,2017
101,Albin Ekdal,Hamburger SV,Sampdoria,2.0,2017
103,Federico Barba,Sporting Gijon,Chievo Verona,2.7,2017
107,Joel Obi,Torino,Chievo Verona,1.8,2017
113,Kevin Malcuit,Lille,Napoli,10.8,2017
122,Filip Bradaric,Rijeka,Cagliari,4.5,2017
123,Enrico Brignola,Benevento,Sassuolo,3.15,2017
127,Leonardo Bonucci,AC Milan,Juventus,31.5,2017
128,Mattia Caldara,Juventus,AC Milan,31.5,2017
131,Joaquín Correa,Sevilla,Lazio,13.5,2017
137,Sergio Alvarez,Sporting Gijon,Eibar,3.6,2017
138,Rolando Mandragora,Juventus,Udinese,18.0,2017
140,Robin Olsen,FC Copenhagen,AS Roma,7.65,2017
141,Jeremie Boga,Chelsea,Sassuolo,3.6,2017
145,Christian Nörgaard,Brondby IF,Fiorentina,3.15,2017
147,Mehdi Bourabia,Konyaspor,Sassuolo,2.03,2017
148,Ignacio Pussetto,Huracan,Udinese,7.2,2017
155,Nicholas Opoku,Club Africain,Udinese,1.35,2017
156,Francesco Acerbi,Sassuolo,Lazio,9.0,2017
157,Juan Musso,Racing Club Avellaneda,Udinese,3.47,2017
161,Soualiho Meité,Monaco,Torino,9.0,2017
162,Bremer,Atletico Mineiro,Torino,4.5,2017
163,Cristiano Ronaldo,Real Madrid,Juventus,120.0,2017
174,Alex Meret,Udinese,Napoli,19.8,2017
175,Orestis Karnezis,Udinese,Napoli,2.25,2017
176,Mattias Svanberg,Malmo FF,Bologna,4.5,2017
177,Federico Di Francesco,Bologna,Sassuolo,9.0,2017
178,Armando Izzo,Genoa,Torino,7.2,2017
179,Diego Falcinelli,Sassuolo,Bologna,9.0,2017
183,Valon Berisha,RB Salzburg,Lazio,6.75,2017
186,Samuel Mraz,MSK Zilina,Empoli,1.35,2017
189,Alban Lafont,Toulouse,Fiorentina,7.65,2017
191,Lucas Castro,Chievo Verona,Cagliari,5.85,2017
192,Nicolas N'Koulou,Olympique Lyon,Torino,3.15,2017
193,Marco Carraro,Inter Milan,Atalanta,4.5,2017
194,Giangiacomo Magnani,Perugia,Juventus,4.5,2017
197,William Bianda,Lens,Roma,6.0,2017
199,Jens Ogdaard,Inter Milan,Sassuolo,4.5,2017
200,Nicola Citro,Trapani,Frosinone,0.27,2017
202,Joao Cancelo,Valencia,Juventus,36.3,2017
203,Radja Nainggolan,Roma,Inter Milan,24.0,2017
206,Javier Pastore,PSG,AS Roma,22.2,2017
208,Cristian Romero,Belgrano,Genoa,1.55,2017
209,Antonio Mirante,Bologna,AS Roma,3.6,2017
210,Riza Durmisi,Real Betis,Lazio,5.85,2017
211,Marco Tumminello,AS Roma,Atalanta,4.5,2017
213,Federico Santander,FC Copenhagen,Bologna,5.4,2017
216,Lukasz Skorupski,AS Roma,Bologna,8.1,2017
217,Justin Kluivert,Ajax,AS Roma,15.53,2017
219,Vid Belec,Benevento,Sampdoria,0.36,2017
220,Omar Colley,KRC Genk,Sampdoria,6.9,2017
221,Bartosz Salamon,Cagliari,SPAL,1.8,2017
222,Nenad Tomovic,Fiorentina,Chievo Verona,2.25,2017
223,Francesco Bardi,Inter Milan,Frosinone,0.9,2017
